name,address,city,phone,fax,status,capital,latitude,longitude,activity
Medi - art - productions,59 Residence Walid D 4 Zemouri I Avenue Mohamed Vi - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée à Associé Unique,100 000  DHS,35.780402,-5.804735,"productions culturelles et artisitiques diverses, edition, organisation"
Art nettoyage et securite,"Lotissement Belkhairi, Avenue Aicha El Moussaafir, Lot N 13, 1er Etage N 2 - Tanger-Médina (AR)",Tanger-Médina (AR),,['0539361010'],Société à Responsabilité Limitée,200 000  DHS,35.75152,-5.809545,"nettoyage, securite, transport de personnel des entreprises, import-export"
Horlogerie amine alilou et co,59 Rue Msallah - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.77983,-5.815607,commerce import-export
Travaux plomberie electricite du detroit,Complexe Commercial Manar N16 A Lot Belkhiri 10 Beni Makad - Tanger-Assilah,Tanger-Assilah,,[],Société en Nom Collectif,100 000  DHS,35.746434,-5.808113,travaux de plomberie et electricite en general
Jnea real estate agency,83 Passage Aharar - Tanger-Médina (AR),Tanger-Médina (AR),,[],Société en Nom Collectif,100 000  DHS,35.7666667,-5.7999999999999545,import export et immobilier en general services et travaux
Polysac  (POLISAC),Zone Industrielle De Moghogha Allee 2 Route De Tetouan - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,1 600 000  DHS,35.76025,-5.782748,exploitation d'un etablissement pour preparation de matieres plastiques
Tabex  (TABEX),8 Place De France - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,1 000  DHS,35.781058,-5.812675,"toutes operations commerciales, d'import export et notamment la vente en consignation"
Catania  (CATANIA),47 Bd Hassan Ii - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,1 000  DHS,35.78524,-5.81999,"toutes operations commerciales, industrielles, financieres, mobilieres et immobilieres..."
Tulipe,47 Bd Hassan Ii - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,1 000  DHS,35.78524,-5.81999,"toutes operations commerciales, industrielles, financieres, mobilieres, immobilieres..."
Douro  (DOURO),Carnot 11 - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,25 000  DHS,35.766667,-5.8,administration de ses propres immeubles
Ginoloise (la),6 Rue Cook - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,1 000  DHS,35.780825,-5.807845,"toutes operations, commerciales, industrielles, financieres, mobilieres et immobilieres"
Rue cervantes (immobiliere de la),La Rue D'italie N54 - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,92 730  DHS,35.78592,-5.81306,administration de sa propriete
Italo marocaine de bijouterie (fabrique),8 Rue Casablanca - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,10 000  DHS,35.781901,-5.823072,"toutes operations commerciales ou industrielles, fabrication, achat, vente de bijouteries de toutes sortes"
S. azagury et cie,29 Av Du Prince Moulay Abdellah - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,29 820  DHS,35.778512,-5.809727,"la commercialisation d'appareils electromenagers, d'appareils a gaz liquefies, appareils de sonorisatin, la distribution des gaz liquefies"
Installation et service entretien d'antennes collectives pour video et sonorisations  (ANTCOL),4 Rue Venezwela - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.768486,-5.809275,installation et entretien pour antenne
Najah (fid),Rue De Strasbourg Angle Rue Canizares - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 050  DHS,33.59148,-7.610821,"expertise, audit, travaux et etudes d'ordre comptable, economique, juridique et fiscal, toutes activite connexes"
Amagor (ste de distribution),165 Rue Galilee - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.588457,-7.627444,marchand effectuant import-export
Negoce et de courtage (ste de),25 Rue Bossuet - Casablanca,Casablanca,,[],Société Anonyme,50 000  DHS,33.58639,-7.61564,marchand effectuant importation et exportation
Generale de travaux et de terrassements  (GETRATER),19 Rue Des Rossignols Oasis - Casablanca,Casablanca,,[],Société à Responsabilité Limitée à Associé Unique,100 000  DHS,33.562225,-7.637975,la construction de plat formes routieres autoroutiere et de chemin de fer
Laureen diffusion,163 Rte De Zenata Ain Sebaa  - Aîn-Sebaâ (AR),Aîn-Sebaâ (AR),,[],Société à Responsabilité Limitée,100 000  DHS,33.58694440000001,-7.6111111000000164,fabricant de vetements confectionnes
Achlaf chennaoui haris (frind-tex),56 Hay Chadia Rue 1 - Casablanca,Casablanca,,[],Société en Nom Collectif,60 000  DHS,33.5721326689,-7.68233054506,confection generale
Unicometal  (UNICOMETAL),Angle Bd De La Resistance Et Rue Puissesseau - Casablanca,Casablanca,,[],Société Anonyme,60 000  DHS,33.588202,-7.599985,"entrepreneur de constructions metaliques, marchand importateur vendant en gros"
Generale de batiment et approvisionnement diverss (ste)  (SOGEBAD),359 Bd Abdelmoumen - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,20 000  DHS,33.56703,-7.62619,batiment et approvisionnement divers
L'africaine de gestion d'assistance et conseil  (AGAC),165 Rue Mohamed Smiha - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.590865,-7.60841,expert comptable
Montmartre  (MONTMARTRE),253 Rue Mustapha El Maani - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,300 000  DHS,33.5887,-7.61643,"brasserie, bar"
Garage de bordeaux,"6, Rue Melillya - Rabat",Rabat,"['0537721031', '0537790710', '0537790713', '0537790720']",['0537723013'],Société Anonyme,6 000 000  DHS,34.020719,-6.841776,achat vente de pièces détachées pour véhicules - entretien et réparation de véhicules automobiles
Societe financiere suisse maghreb  (SFSM),11 Rue Aman - Casablanca,Casablanca,,[],Société Anonyme,1 664 600  DHS,33.58694440000001,-7.6111111000000164,"acquisition revente en totalite ou en partie de tous immeubles batis ou non baties, toutes operations concernant immeubles terrains et propriete etc.."
Produits organiques et industriels (cie de)  (COPRORGAN),Bd Du Commandant Runser - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.58694440000001,-7.6111111000000164,"commerce general import-export de tous produits, creation et mise en valeur d'entreprises industrielles de transformations ou de fabrication"
Etudes techniques du batiments (ste d')  (SOTEBA),213 Avenue Mohamed V - Marrakech,Marrakech,,[],Société Anonyme,10 000  DHS,31.6333333,-8,"beton arme, architecture, metre expertises etc"
Jawahir (boulangerie patisserie),76 Et 77 R'mila Rue Fatima Zohra - Marrakech,Marrakech,,[],Société Anonyme,200 000  DHS,31.6333333,-8,exploitant de boulangerie
Gzaghar poucet marrakech,20 Rue Ibn Aicha Gueliz - Gueliz (AR),Gueliz (AR),,[],Société à Responsabilité Limitée,520 000  DHS,31.6333333,-8,acquisition et exploitation de restaurants brasserie cafe
Armen (ste),8 Bd Joffre - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,4 000 000  DHS,33.58694440000001,-7.6111111000000164,exploitation de domaines agricoles
Safama  (SAFAMA),Rue De Fez - Mohammedia,Mohammedia,,[],Société Anonyme,3 000 000  DHS,33.703764,-7.390254,toutes affaires agricoles mobilieres immobilieres commerciales ou financieres
Africain des producteurs de minerais et metaux bruts (comptoir)  (CAPMMB),7 Passage Sumica - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,500  DHS,33.594862,-7.616286,faciliter particulierement l'approvisionnement en fournitures industrielles dont l'activite ressortit de la production des metaux bruts
Ese generale de constructions-gigo et juanes,Allee Des Phenix Ain Sebaa - Aîn-Sebaâ (AR),Aîn-Sebaâ (AR),,[],Société à Responsabilité Limitée,500 000  DHS,33.617867,-7.539828,batiments travaux publics et particuliers
Golden manager,N° 230 Bloc A5 Cite Al Qods - Agadir (M),Agadir (M),,[],Société à Responsabilité Limitée,150 000  DHS,30.427755,-9.598107,travaux de  comptabilite
Alab immobilier,190 Angle Bd D'anfa Et Rue Ain Harrouda 5eme Etage - Casablanca,Casablanca,,[],Société à Responsabilité Limitée à Associé Unique,144 000  DHS,33.58694440000001,-7.6111111000000164,achat bail de tous immeubles
J-h atlas,Route Aghroude En Face De Villa Diaz Bensrgao - Agadir (M),Agadir (M),,[],Société à Responsabilité Limitée,100 000  DHS,30.360025,-9.490449,import export et commercialisation du materiel de conditionnement
Epme maroc,"Angle Rue Amr Bnou Al Ass Et Rue De L'océan, Immeuble E, N°21, Résidence Safir - Casablanca",Casablanca,,[],Société à Responsabilité Limitée à Associé Unique,300 000  DHS,33.58694440000001,-7.6111111000000164,import en general et commercialisation de systeme electrique
Hibiscus confection,Parc D'activite D'oukacha - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,500 000  DHS,33.6120435466,-7.552291232,"fabricant de vetements confectionnes, import-export"
Societe omega medic,Hay El Oulfa Rue 47 N31 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.5564236661,-7.67990817114,commercialisation des produits paramedical et instruments de medecine
Societe marroco italienne de construction et d'equipement  (SOMITEC),11 Avenue Des Far - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.573151,-7.552959,"entreprise generale de constructions et d'equipement, import-export et le negoce"
Societe mississipi,Rue 137 Groupe M Bd Oued Sebou Oulfa - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.5564236661,-7.67990817114,exploitant d'un super marche + import export
Ebnidar,Bd Chouhada Bloc 7 N308 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.588387,-7.5677,promoteur a la construction d'immeubles
Agritrap (ste),Rue Montagni Res 109 App 5 Val Fleuri Maarif - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.574512,-7.634647,"l'agriculture bovine, l'elevage et engraissement du betail, elevage de bovins, achats et ventes de tous materiaux de constructions, construction de tous genre de batiments, achat et vente de tous produits de ferrnneries"
Ste concessionnaire de services telephoniques  (FAXI PHONE),N11 Boulevard Mohamed Zerktouni - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,220 000  DHS,34.2216,-5.70629,teleboutique
Ste maroc methodes plus el moumni et cie,239 Hay Essaada - Sidi-Kacem,Sidi-Kacem,,[],Société en Nom Collectif,100 000  DHS,34.237347,-5.700209,"construction, equipement et travaux divers"
Errahma hassioui et ait bouhou (forage),Rue 2 Imm 72 - Sidi-Kacem,Sidi-Kacem,,[],Société en Nom Collectif,300 000  DHS,34.225687,-5.709779,"forage hydrauliques, travaux divers"
Zamzam de forage des puits et des eaux sous-terraines (ste),Rue 16 N95 Hay Lekouech - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,10 000  DHS,34.220436,-5.705907,forage eaux potable
Dalanda  (DALANDA),Rue 22 Imm Beallal N2 - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,100 000  DHS,34.222115,-5.70931,commerce general
"Jouhara d'ouezzane (boulangerie, patisserie, cremerie el)",Ville Nouvelle Quartier Laadir Lot 42 - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,12 000  DHS,34.224566,-5.708847,exploitant de boulangerie par procedes mecaniques
Abed et cie (ste),Imm Des Habous Lalla Zouaoua Appt N1 - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,20 000 000  DHS,34.2305179,-5.710314000000039,commerce de produits forestiers
Ain baida (ste),"56, Boulevard Bir Anzarane -",,,[],Société Anonyme,250 000  DHS,33.594516,-7.628428,exploitant de carriers travaux de construction
Sedauto  (SEDAUTO),11 Hay Haddadine Rue Majzara Bd Ibn Khaldoun - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,170 000  DHS,34.225687,-5.709779,equipement de voitures...
Sila (ceramica)  (CERAMICA),Km 4 Route Ouezzane - Sidi-Kacem,Sidi-Kacem,,[],Société à Responsabilité Limitée,100 000  DHS,34.225687,-5.709779,briques et carrelages
Marocaine d'assainissement et travaux publics (ste)  (SMATP),13 Rue Claude Bernard - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.590515,-7.615335,acquisition vente et exploitation de tous terrains construction immeubles travaux de lotissement
Service et conseil en matiere de publicite et decoration,195 Bd Emile Zola 5eme Etage  N13 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.59338,-7.59728,service de conseil en matiere de publicite et decoration
Ste d'assurances la renaissance,123 Boulevard Rahal El Meskini - Casablanca,Casablanca,,[],Société Anonyme,3 000 000  DHS,33.588255,-7.611935,assurances et reassurances
Idec  (IDEC),187 Bd Lalla Yacout - Casablanca,Casablanca,,[],Société Anonyme,300 000  DHS,33.589266,-7.609854,imprimerie papeterie diffusion cinema art sport et culture beaute publicite divers
Nationale de production de peinture et de colles (ste)  (SONAPEC),60 Rue Des Iris Beausejour - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.56925,-7.64943,marchand de produits chimiques en gros
Tisbien (ste)  (TISBIEN),22 Chemin Des Glaieuls - Casablanca,Casablanca,,[],Société Anonyme,50 000  DHS,33.587757,-7.54068,exploitant une fabrique a metiers
Sogefil (ste)  (SOGEFIL),12 Rue De La Fayette - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,20 000  DHS,33.59234,-7.60615,"representant commercial, fabrication et confection de tous genres de vetements."
Timsit (miroiterie),13 Rue Saad Bnou Abi Ouaqass - Casablanca,Casablanca,,[],Société Anonyme,3 600 000  DHS,33.59179,-7.58384,l'execution de tous travaux industriels et de batiments de miroiterie et de vitrerie glaces et derives
Mobilier de bureau  (MOBUREAU),72 Rue Ahmed Faris - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.593051,-7.606916,equipement de bureau
Marocain (confection tricotage)  (COTIM),Rue 90 Rue 29 Bd Abdelmoumen - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.58694440000001,-7.6111111000000164,"installation d'1 usine de tricotage de vetements en tissu et autres matieres, la commercialisation de cette production achat vente  etc..."
Tematra (ste)  (TEMATRA),Lotissement My Driss Alaoui N23 - Skhirate- Temara,Skhirate- Temara,,[],Société à Responsabilité Limitée,30 000  DHS,33.85,-7.029999999999973,entrepreneur de travaux divers ou constructions
Generale de peinture et decoration (compagnie)  (COGEP),Rue Al Wahda N37 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,40 000  DHS,33.608241,-7.546635,tenant un bureau d'etudes
Maroc (boissons et jus du),Bd Anfa N122 - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.5917,-7.6346,debitant de boissons gazeuses
***,*** -,,,[],Société Anonyme,10 000  DHS,33.594516,-7.628428,
Societe immobiliere panorama,1 Bd Abdelmoumen - Casablanca,Casablanca,,[],Société Anonyme,110 000 000  DHS,33.58012,-7.6249,"lotisseur, promot construction d'immeuble"
Bobinage tarik,Rue 11 N°21 Hay Tarik Sidi Bernoussi - Sidi Bernoussi (AR),Sidi Bernoussi (AR),,[],Société à Responsabilité Limitée à Associé Unique,100 000  DHS,33.610869,-7.504093,"reparation appareillage electrique, exploitant atelier"
Production et de diffusion international (centre de)  (CPDI),Bd Aba Chouaib Doukkali N180 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.590248,-7.629755,entrepreneur de publicite
Tissigroup  (TISSIGROUP),Drissia 4 Av Dn30 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.58468,-7.56228,marchand effectuant import-export
Rama (travaux),Imb 11 Apt 4a Cite Riviera - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.5644028585,-7.6405262623,entrepreneur de travaux divers
Mecanique engins travaux publics  (METP),Rte Secondaire 320 Carriere Ben Abid - Casablanca,Casablanca,,[],Société Anonyme,200 000  DHS,33.533333,-7.583333,"entrepreneur, entretien de vehicules"
Chafia voyage,Bloc 58 N105 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,40 000  DHS,33.533333,-7.583333,tenant agence de voyages
Orbou sanitaire,11 Rue De Touraine Beni Makada - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,10 000  DHS,35.770049,-5.7968,exposition et vente de materiel sanitaire et construction
Sobani,Tanja Balia Rue Principale 20 N° 2 - Tanger-Médina (AR),Tanger-Médina (AR),,[],Société à Responsabilité Limitée,100 000  DHS,35.760549,-5.78778,"entrepreneur de travaux de construction, achat et vente de materiel de construction"
Nouinitex (ste)  (NOUINITEX),Rue El Khardak Hay El Karia N20 Sidi Moumen - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,10 000  DHS,33.579629,-7.547522,"la serigraphie (impression sur textiles, cuir mantaux)"
Tonkoma  (TONKOMA),*** -,,,[],Société Anonyme,100 000  DHS,33.594516,-7.628428,toutes affaires agricoles mobilieres immobilieres commerciales ou financieres
Ste electricite nouvelle,Ras Alma Ahouaz Fes Tribu  Sajaa Province My Yacou - Fès-Médina (AR),Fès-Médina (AR),,[],Société à Responsabilité Limitée,600 000  DHS,34.0333333,-5,"l'achat, la vente, l'importation l'exportation et la commercialisation de tous equip. et materiels electriques + entrep. d'installation electriques."
Marporliege,47 Bd Bir Anzarane - Sidi-Kacem,Sidi-Kacem,,[],Société Anonyme,200 000  DHS,34.234137,-5.705743,"commerce de produits agricoles, plantes..."
Omassane (ste)  (OMASSANE),Rue 2 Lot 116 Hay El Qods - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.6154283126,-7.49227246256,entrepreneur de maconnerie
Satisfashion  (SATISFASHION),Residence Marina 21 Rue Ibn Zobir - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,750 000  DHS,35.766667,-5.8,confection de vetement a l'export
Africaine de quincailleurie et droguerie  (AFQUID),103bis Route D'el Jadida - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.5664,-7.64446,l'achat la vente de tous materiels de quincaillerie et droguerie*
Panda international (ste),1 Rue Tahiti Avenue Hassan Ii - Rabat,Rabat,,[],Société à Responsabilité Limitée,10 000  DHS,34.015049,-6.832719999999995,marchand effectuant importation-exportation
Medafousse,Rue Massenet Res Chaimae B 1er Etage N3 - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée à Associé Unique,50 000  DHS,35.776483,-5.801107,travaux de construction
Msad  (MSAD),12 Avenue Jules Ferry - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.59095,-7.62768,l'acquisition et la mise en valeur de toutes proprietes agricoles ou destinees a l'elevage en general
Halib el jaouda,Ferme Dar Dmana Commune Asjane - Chefchaouen,Chefchaouen,,[],Société Anonyme,100 000  DHS,35.170598,-5.27055,production de lait et ses derives
N.b.m. sport maroc (ste),332 Bd Brahim Roudani - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.58694440000001,-7.6111111000000164,import export commercialisation d'article de sport
Laboratoire ident  (LABORATOIRE IDENT),58 Rue Emile Gros Benjdia - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,50 000  DHS,33.58371,-7.61198,confection et commerce sous toutes ses formes de protheses dentaires ainsi que les matieres et produits necessaires a leur fabrication
Yaz  (YAZ),Avenue 2 Mars Derb Fokara N°341 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.58694440000001,-7.6111111000000164,marchand effectuant import-export
Maxifood  (MAXIFOOD),14 Avenue De Lisbonne - Tanger-Assilah,Tanger-Assilah,,[],Société Anonyme,100 000  DHS,35.775165,-5.799635,commerce et exportation de poissons
Scanner graphie (ste),51 Rue 16 Novembre - Rabat,Rabat,,[],Société Anonyme,500 000  DHS,33.989,-6.851153,marchand effectuant import export (appareil photos cinemato-electriques etc...) librairie editeur
Beton (ste d'amenagement et de construction de)  (SACOB),Domicile 3 Rue De Toul - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,80 000  DHS,33.533333,-7.583333,etude realisation execution exploitation travaux publics ou prives genie civil genie rural mecanique sous terraine et hydraulique tous systeme
Esalbo,84 Avenue Docteur Faraj - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,120 000  DHS,35.7666667,-5.7999999999999545,"menuiserie d'aluminium, genie civil, promotion immobiliere et travaux divers"
Krechba (la),49 Rue De L'horloge - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.59554,-7.61437,"acquisition, exploitation, mise en valeur de toutes proprietes agricoles"
Societe animation touristique de tata,Comping De Tata - Tata,Tata,,[],Société Anonyme,12 000  DHS,29.745249,-7.972814,"exploitation, gestion de comping et unites d'hebergement"
Broderie harifi,Rue 9 N56 Hakam 2 - Casablanca,Casablanca,['0522605694'],[],Société à Responsabilité Limitée,100 000  DHS,33.591606,-7.585802,"fabrication de vetements confectionnes et broderie, import export"
Cosbi (ste)  (COSBI),10 Rue Des Accacias 4eme Etage Burger - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,120 000  DHS,33.57189,-7.64432,"importation, distribution de fournitures et equipement"
Somaptrad  (SOMAPTRAD),Angle Avenue Moulay Abdelaziz Et Rue Oued El Makhazine N° 5 Et 8 - Kénitra (M),Kénitra (M),,[],Société à Responsabilité Limitée,500 000  DHS,34.257394,-6.590154,construction et travaux divers
Equus trading,3 Rue Beckmans - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.580262,-7.630217,marchand effectuant import-export
Sanifeu (ste)  (SANIFEU),32 Rue Du Marche - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,20 000  DHS,33.58437,-7.63325,protection contre le feu sanitaire de plomberie
Opaline decor (ste),Hay Nahda 1 Bis N° 427 Groupe Al Aahd Rabat - Rabat,Rabat,,[],Société à Responsabilité Limitée,60 000  DHS,33.987556,-6.807352,marchand de meubles
Tanger immobilier et syndic,Bd Med V Angle Washington - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.470135,-6.029685,la gestion des syndics des copropriétés et toutes activités immobilières.
Exploitations marocaines et d'importations helbetiques (ste d')  (IMEXHEL),Avenue De La Plage Villa Falkenstein - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.615433,-7.539584,exploitation de tous produits marocains importations de bascules industrielles et autres machines
Bab sahara (exploitation agricole),Bd Youssef Ben Tachfine N20 - Guelmim,Guelmim,,[],Société Anonyme,525 000  DHS,28.987846,-10.0574,location et exploitation des terres agricoles
Boucherie halab,11 Rue Halab Mers Sultan - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.587165,-7.61591,"commercialisation de tous genre de viande et tous produits a base de viande, marchand boucher en detail"
Methode nouvelle international,273 Bd Mohamed V - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,50 000  DHS,33.593485,-7.603666,recherche de renseignements commerciaux au maroc et a l'etranger
Semiroc  (SEMIROC),Quartier Rmel Route De Rabat N° 187 - Ouezzane (M),Ouezzane (M),,['0537909281'],Société à Responsabilité Limitée,1 000 000  DHS,34.2305179,-5.710314000000039,travaux de construction et tous travaux divers
Fidutarik  (FIDUTARIK),10 Boulevard El Haouz - Rabat,Rabat,,[],Société à Responsabilité Limitée,200 000  DHS,33.982924,-6.82759,entrepreneur de travaux de comptabilite
Soft expert,7 Rue Bendahan Escalier A 3e Etage N7 - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,40 000  DHS,33.595195,-7.617197,tenant un bureau d'etudes
Electrimat,Rue Marseille Res Lamadrague 2eme Etage N4 - Tanger-Assilah,Tanger-Assilah,,[],Société à Responsabilité Limitée,100 000  DHS,35.778161,-5.801781,"import-export, maintenance industrielle, vente, achat de materiels electriques, etudes et realisation des installations electriques"
Commerciale des metaux et derives (ste),129 Rue Du Prince Moulay Abdellah - Casablanca,Casablanca,,[],Société Anonyme,10 000  DHS,33.58965,-7.6173,achat vente transformation industrialisation negoce commercialisation exportation de toutes matieres produits et objets ainsi fabriques
Manufacture generale du vetement,23 Rue De L'aviation Francaise - Casablanca,Casablanca,,[],Société Anonyme,20 000 000  DHS,33.59215,-7.61125,la fabrication la vente de vetements et de tous articles de confection
Esprit sud,Boujrif Kiadat Kisabi - Guelmim,Guelmim,,[],Société à Responsabilité Limitée,10 000  DHS,28.986778,-10.058265,entrepreneur de transport touristique
Mrd location,18 Rue Gharnata Mers Sultan - Casablanca,Casablanca,,[],Société à Responsabilité Limitée,100 000  DHS,33.585687,-7.614746,entrepreneur des travaux divers ou construction
Generale de modernisation et d'equipement (ese)  (EGME),140-142 Bd Abdellah Ben Yacine - Casablanca,Casablanca,,[],Société Anonyme,100 000  DHS,33.589948,-7.597135,"la realisation de tous travaux immobiliers, fondations, constructions menuiserie, vitrerie, peinture, electricite de batiment"
